"filename", "language", "C++", "Swift", "JSON", "XML", "Dart", "Markdown", "HTML", "YAML", "Groovy", "Properties", "comment", "blank", "total"
"/media/nims/ملفاتي/studio projects/sono/lib/view/screen/advertisements.dart", "Dart", 0, 0, 0, 0, -8, 0, 0, 0, 0, 0, 0, -3, -11
"/media/nims/ملفاتي/studio projects/sono/lib/view/screen/chats.dart", "Dart", 0, 0, 0, 0, -28, 0, 0, 0, 0, 0, 0, -4, -32
"/media/nims/ملفاتي/studio projects/sono/lib/view/screen/home_page/home_page.dart", "Dart", 0, 0, 0, 0, -10, 0, 0, 0, 0, 0, 0, -3, -13
"/media/nims/ملفاتي/studio projects/sono/lib/view/screen/home_page/icons_home/add_ads/add.dart", "Dart", 0, 0, 0, 0, -23, 0, 0, 0, 0, 0, 0, -3, -26
"/media/nims/ملفاتي/studio projects/sono/lib/view/screen/home_page/icons_home/favorite.dart", "Dart", 0, 0, 0, 0, -19, 0, 0, 0, 0, 0, 0, -3, -22
"/media/nims/ملفاتي/studio projects/sono/lib/view/screen/home_page/icons_home/notifications.dart", "Dart", 0, 0, 0, 0, -16, 0, 0, 0, 0, 0, 0, -2, -18
"/media/nims/ملفاتي/studio projects/sono/lib/view/screen/home_screen.dart", "Dart", 0, 0, 0, 0, -24, 0, 0, 0, 0, 0, 0, -6, -30
"/media/nims/ملفاتي/studio projects/sono/lib/view/screen/language.dart", "Dart", 0, 0, 0, 0, -36, 0, 0, 0, 0, 0, 0, -4, -40
"/media/nims/ملفاتي/studio projects/sono/lib/view/screen/onboarding.dart", "Dart", 0, 0, 0, 0, -30, 0, 0, 0, 0, 0, 0, -4, -34
"/media/nims/ملفاتي/studio projects/sono/lib/view/widget/arrow_back.dart", "Dart", 0, 0, 0, 0, -24, 0, 0, 0, 0, 0, 0, -4, -28
"/media/nims/ملفاتي/studio projects/sono/lib/view/widget/bottom_nav_bar/animated_container.dart", "Dart", 0, 0, 0, 0, -25, 0, 0, 0, 0, 0, 0, -4, -29
"/media/nims/ملفاتي/studio projects/sono/lib/view/widget/bottom_nav_bar/bottom_nav_bar.dart", "Dart", 0, 0, 0, 0, -91, 0, 0, 0, 0, 0, 0, -5, -96
"/media/nims/ملفاتي/studio projects/sono/lib/view/widget/close_icon_page.dart", "Dart", 0, 0, 0, 0, -24, 0, 0, 0, 0, 0, 0, -4, -28
"/media/nims/ملفاتي/studio projects/sono/lib/view/widget/custom_appbar/appbar_mobile.dart", "Dart", 0, 0, 0, 0, -35, 0, 0, 0, 0, 0, 0, -4, -39
"/media/nims/ملفاتي/studio projects/sono/lib/view/widget/custom_appbar/filter.dart", "Dart", 0, 0, 0, 0, -25, 0, 0, 0, 0, 0, 0, -5, -30
"/media/nims/ملفاتي/studio projects/sono/lib/view/widget/custom_appbar/page_appbar.dart", "Dart", 0, 0, 0, 0, -43, 0, 0, 0, 0, 0, 0, -3, -46
"/media/nims/ملفاتي/studio projects/sono/lib/view/widget/home_page/add_ads/add_appbar.dart", "Dart", 0, 0, 0, 0, -44, 0, 0, 0, 0, 0, 0, -4, -48
"/media/nims/ملفاتي/studio projects/sono/lib/view/widget/home_page/add_ads/add_card.dart", "Dart", 0, 0, 0, 0, -12, 0, 0, 0, 0, 0, 0, -2, -14
"/media/nims/ملفاتي/studio projects/sono/lib/view/widget/my_icon_button.dart", "Dart", 0, 0, 0, 0, -16, 0, 0, 0, 0, 0, 0, -3, -19
"/media/nims/ملفاتي/studio projects/sono/lib/view/widget/onboarding/custom_button.dart", "Dart", 0, 0, 0, 0, -44, 0, 0, 0, 0, 0, 0, -2, -46
